variable,question,module,type,full,short,hce,default,coding
age,Last known age of the deceased [years],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
sex,Sex of deceased,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s1,Did Decedent Have Asthma?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s2,Did Decedent Have Arthritis?,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s3,Did Decedent Have Cancer?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s4,Did Decedent Have COPD?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s5,Did Decedent Have Dementia?,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s6,Did Decedent Have Depression?,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s7,Did Decedent Have Diabetes?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s8,Did Decedent Have Epilepsy?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s9,Did Decedent Have Heart Disease?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s10,Did Decedent Have Hypertension?,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s11,Did Decedent Have Obesity?,adult,categorical,1,0,1,0,"0 ""No"" 1 ""Yes"""
s12,Did Decedent Have Stroke?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s13,Did Decedent Have TB?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s14,Did Decedent Have AIDS?,adult,categorical,1,1,1,0,"0 ""No"" 1 ""Yes"""
s15,For how long was [name] ill before s/he died? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s16,Did [name] have a fever?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s17,How many days did the fever last? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s18991,Severity of fever was mild,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s18992,Severity of fever was moderate to large,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s19991,Pattern of fever was continuous,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s19992,Pattern of fever was on-and-off,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s20,Did [name] have sweating with the fever?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s21,Did [name] have a rash?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s22,How many days did [name] have the rash? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s23991,Rash was located on face,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s23992,Rash was located on trunk,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s23993,Rash was located on extremities,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s23994,Rash was located everywhere,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s27,Did [name] have sores?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s28,Did the sores have clear fluid or pus?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s29,Did [name] have itching of skin?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s30,Did [name] have an ulcer (pit) on the foot?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s31,Did the ulcer ooze pus?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s32,For how many days did the ulcer ooze pus? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s33,Did [name] experience 'pins and needles' in their feet?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s34,Did [name] have blue lips?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s35,Had [name] lost weight in the three months prior to death?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s36991,Loss of weight was slight,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s36992,Loss of weight was moderate to large,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s37,Did [name] look pale?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s38,Did [name] have yellow discoloration of the eyes?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s39,For how long did [name] have the yellow discoloration? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s40,Did [name] have ankle swelling?,adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s41,For how long did [name] have ankle swelling? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s42,Did [name] have puffiness of the face?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s43,For how long did [name] have puffiness of the face? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s44,Did [name] have general puffiness all over his/her body?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s45,For how long did [name] have puffiness all over his/her body? [days],adult,categorical,1,0,0,0,"0 ""No"" 1 ""Yes"""
s46,Did [name] have a lump in the neck?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s47,Did [name] have a lump in the armpit?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s48,Did [name] have a lump in the groin?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s49,Did [name] have a cough?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s50,For how long did [name] have a cough? [days],adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s51,Did the cough produce sputum?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s52,Did [name] cough blood?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
s53,Did [name] have difficulty breathing?,adult,categorical,1,1,0,0,"0 ""No"" 1 ""Yes"""
