variable,question,module,type,full,short,hce,default,coding
sid,Study ID,general,text,1,1,0,'',
g1_01d,Date of birth [day],general,day,1,1,0,99,"99 ""Don't Know"""
g1_01m,Date of birth [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g1_01y,Date of birth [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g1_05,Sex of deceased,general,categorical,1,1,0,9,"1 ""Male"" 2 ""Female"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g1_06d,Date of death [day],general,day,1,1,0,99,"99 ""Don't Know"""
g1_06m,Date of death [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g1_06y,Date of death [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g1_07a,Last known age of the deceased [years],general,numeric,1,1,0,999,"999 ""Don't Know"""
g1_07b,Last known age of the deceased [months],general,numeric,1,1,0,99,"99 ""Don't Know"""
g1_07c,Last known age of the deceased [days],general,numeric,1,1,0,99,"99 ""Don't Know"""
g1_08,Marital status of deceased,general,categorical,1,1,0,9,"1 ""Never Married"" 2 ""Married"" 3 ""Separated"" 4 ""Divorced"" 5 ""Widowed"" 8 ""No Data"" 9 ""Unknown"""
g1_09,Last known level of education completed,general,categorical,1,1,0,9,"1 ""No Schooling"" 2 ""Primary School"" 3 ""High School"" 4 ""College or Higher"" 9 ""Unknown"""
g1_10,Number of years of education completed,general,numeric,1,1,0,99,"99 ""Don't Know"""
g2_01,Language of interview,general,text,1,1,0,'',
g2_02,Interviewer ID number,general,text,1,1,0,'',
g2_03ad,Date of first interview attempt [day],general,day,1,1,0,99,"99 ""Don't Know"""
g2_03am,Date of first interview attempt [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03ay,Date of first interview attempt [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g2_03bd,Date and time arranged for second interview attempt [day],general,day,1,1,0,99,"99 ""Don't Know"""
g2_03bm,Date and time arranged for second interview attempt [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03by,Date and time arranged for second interview attempt [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g2_03cd,Date and time arranged for third interview attempt [day],general,day,1,1,0,99,"99 ""Don't Know"""
g2_03cm,Date and time arranged for third interview attempt [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03cy,Date and time arranged for third interview attempt [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g2_03dd,Date of interview [day],general,day,1,1,0,99,"99 ""Don't Know"""
g2_03dm,Date of interview [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03dy,Date of interview [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g2_03ed,Date form checked by supervisor [day],general,day,1,1,0,99,"99 ""Don't Know"""
g2_03em,Date form checked by supervisor [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03ey,Date form checked by supervisor [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g2_03fd,Date entered in computer [day],general,day,1,1,0,99,"99 ""Don't Know"""
g2_03fm,Date entered in computer [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g2_03fy,Date entered in computer [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g3_01,Did respondent give consent?,general,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g4_02,What is the sex of the respondent?,general,categorical,1,1,0,9,"1 ""Male"" 2 ""Female"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g4_03a,What is your respondent's relationship to the deceased?,general,categorical,1,1,0,99,"1 ""Mother"" 2 ""Father"" 3 ""Grandmother"" 4 ""Grandfather"" 5 ""Aunt"" 6 ""Uncle"" 7 ""Husband"" 8 ""Wife"" 9 ""Brother"" 10 ""Sister"" 11 ""Birth Attendant"" 12 ""Other Male"" 13 ""Other Female"" 99 ""Unknown"""
g4_03b,Other relationship specified,general,text,1,1,0,'',
g4_04,How old are you?,general,numeric,1,1,0,0,
g4_05,What was the last level of school you attended?,general,categorical,1,1,0,9,"1 ""No Schooling"" 2 ""Primary School"" 3 ""High School"" 4 ""College or Higher"" 9 ""Unknown"""
g4_06,How many people live at this address?,general,numeric,1,1,0,0,
g4_07,How many rooms are in the household?,general,numeric,1,1,0,0,
g4_08,Does the household have a separate room for cooking?,general,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g5_01d,When was the deceased born? [day],general,day,1,1,0,99,"99 ""Don't Know"""
g5_01m,When was the deceased born? [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g5_01y,When was the deceased born? [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g5_02,What was the sex of the deceased?,general,categorical,1,1,0,9,"1 ""Male"" 2 ""Female"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g5_03d,When did he/she die? [day],general,day,1,1,0,99,"99 ""Don't Know"""
g5_03m,When did he/she die? [month],general,categorical,1,1,0,99,"1 ""January"" 2 ""February"" 3 ""March"" 4 ""April"" 5 ""May"" 6 ""June"" 7 ""July"" 8 ""August"" 9 ""September"" 10 ""October"" 11"" November"" 12 ""December"" 99 ""Don't Know"""
g5_03y,When did he/she die? [year],general,year,1,1,0,9999,"9999 ""Don't Know"""
g5_04a,What was the last known age of the deceased? [years],general,numeric,1,1,0,999,"999 ""Don't Know"""
g5_04b,What was the last known age of the deceased? [months],general,numeric,1,1,0,99,"99 ""Don't Know"""
g5_04c,What was the last known age of the deceased? [days],general,numeric,1,1,0,99,"99 ""Don't Know"""
g5_05,What was the marital status of deceased?,general,categorical,1,1,0,9,"1 ""Never Married"" 2 ""Married"" 3 ""Separated"" 4 ""Divorced"" 5 ""Widowed"" 8 ""No Data"" 9 ""Unknown"""
g5_06a,What was the last known level of education of deceased?,general,categorical,1,1,0,9,"1 ""No Schooling"" 2 ""Primary School"" 3 ""High School"" 4 ""College or Higher"" 9 ""Unknown"""
g5_06b,Number of years of education completed,general,numeric,1,1,0,99,"99 ""Don't Know"""
g5_07,Are there other people present during the interview?,general,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
g5_08,How many people are present during the interview?,general,numeric,1,1,0,0,
a1_01_1,Did Decedent Have Asthma?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_2,Did Decedent Have Arthritis?,adult,categorical,1,0,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_3,Did Decedent Have Cancer?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_4,Did Decedent Have COPD?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_5,Did Decedent Have Dementia?,adult,categorical,1,0,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_6,Did Decedent Have Depression?,adult,categorical,1,0,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_7,Did Decedent Have Diabetes?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_8,Did Decedent Have Epilepsy?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_9,Did Decedent Have Heart Disease?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_10,Did Decedent Have Hypertension?,adult,categorical,1,0,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_11,Did Decedent Have Obesity?,adult,categorical,1,0,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_12,Did Decedent Have Stroke?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_13,Did Decedent Have TB?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a1_01_14,Did Decedent Have AIDS?,adult,categorical,1,1,1,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_01,For how long was [name] ill before s/he died?,adult,numeric,1,1,0,0,
a2_02,Did [name] have a fever?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_03,How many days did the fever last?,adult,numeric,1,1,0,0,
a2_04,How severe was the fever?,adult,categorical,1,0,0,9,"1 ""Mild"" 2 ""Moderate"" 3 ""Severe"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_05,What was the pattern of fever?,adult,categorical,1,0,0,9,"1 ""Continuous"" 2 ""On and Off"" 3 ""Only at Night"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_06,Did [name] have sweating with the fever?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_07,Did [name] have a rash?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_08,How many days did [name] have the rash?,adult,numeric,1,1,0,0,
a2_09_1a,Where was the rash located?,adult,categorical,1,1,0,9,"1 ""Face"" 2 ""Trunk"" 3 ""Extremities"" 4 ""Everywhere"" 5 ""Other"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_09_1b,"Where was the rash located? [other location, specified]",adult,text,1,1,0,'',
a2_09_2a,Where was the rash located?,adult,categorical,1,1,0,9,"1 ""Face"" 2 ""Trunk"" 3 ""Extremities"" 4 ""Everywhere"" 5 ""Other"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_09_2b,"Where was the rash located? [other location, specified]",adult,text,1,1,0,'',
a2_09_3a,Where was the rash located?,adult,categorical,1,1,0,9,"1 ""Face"" 2 ""Trunk"" 3 ""Extremities"" 4 ""Everywhere"" 5 ""Other"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_09_3b,"Where was the rash located? [other location, specified]",adult,text,1,1,0,'',
a2_10,Did [name] have sores?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_11,Did the sores have clear fluid or pus?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_12,Did [name] have itching of skin?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_13,Did [name] have an ulcer (pit) on the foot?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_14,Did the ulcer ooze pus?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_15,For how many days did the ulcer ooze pus?,adult,numeric,1,1,0,0,
a2_16,Did [name] experience 'pins and needles' in their feet?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_17,Did [name] have blue lips?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_18,Had [name] lost weight in the three months prior to death?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_19,How substantial was the loss of weight?,adult,categorical,1,0,0,9,"1 ""Slight"" 2 ""Moderate"" 3 ""Large"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_20,Did [name] look pale?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_21,Did [name] have yellow discoloration of the eyes?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_22,For how long did [name] have the yellow discoloration?,adult,numeric,1,1,0,0,
a2_23,Did [name] have ankle swelling?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_24,For how long did [name] have ankle swelling?,adult,numeric,1,1,0,0,
a2_25,Did [name] have puffiness of the face?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_26,For how long did [name] have puffiness of the face?,adult,numeric,1,1,0,0,
a2_27,Did [name] have general puffiness all over his/her body?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_28,For how long did [name] have puffiness all over his/her body?,adult,numeric,1,1,0,0,
a2_29,Did [name] have a lump in the neck?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_30,Did [name] have a lump in the armpit?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_31,Did [name] have a lump in the groin?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_32,Did [name] have a cough?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_33,For how long did [name] have a cough?,adult,numeric,1,1,0,0,
a2_34,Did the cough produce sputum?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_35,Did [name] cough blood?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_36,Did [name] have difficulty breathing?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_37,For how long did [name] have difficulty breathing?,adult,numeric,1,1,0,0,
a2_38,Was the difficulty continuous or on and off?,adult,categorical,1,1,0,9,"1 ""Continuous"" 2 ""On and Off"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_39_1,In what position did the difficulty get worse?,adult,categorical,1,0,0,9,"1 ""Lying"" 2 ""Sitting"" 3 ""Walking/Exertion"" 4 ""Didn't matter"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_39_2,In what position did the difficulty get worse?,adult,categorical,1,0,0,9,"1 ""Lying"" 2 ""Sitting"" 3 ""Walking/Exertion"" 4 ""Didn't matter"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_40,Did [name] have fast breathing?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_41,For how long did [name] have fast breathing?,adult,numeric,1,1,0,0,
a2_42,Did [name] wheeze?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_43,Did [name] experience pain in the chest in the month preceding death?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_44,How long did the pain last?,adult,numeric,1,1,0,9,"1 ""<30 minutes"" 2 ""0.5-24 hours"" 3 "">24 hr"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_45,Was the pain during physical activity?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_46a,Where was the pain located?,adult,categorical,1,0,0,9,"1 ""Upper/middle chest"" 2 ""Lower chest"" 3 ""Left Arm"" 4 ""Other"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_46b,"Where was the pain located? [other, specified]",adult,text,1,1,0,'',
a2_47,Did [name] have more frequent loose or liquid stools than usual?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_48,For how long before death did [name] have loose or liquid stools?,adult,numeric,1,1,0,0,
a2_49,Did [name] have a change in bowel habits?,adult,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
a2_50,Was there blood in the stool?,adult,categorical,1,1,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to Answer"" 9 ""Don't Know"""
